Title,Author,Year
"The Great Gatsby","F. Scott Fitzgerald",1925
"Dune","Frank Herbert",1965
"1984","George Orwell",1949
"Foundation","Isaac Asimov",1951
"Moby Dick","Herman Melville",1851
"Neuromancer","William Gibson",1984
"Dracula","Bram Stoker",1897
"Operating System Concepts","Abraham Silberschatz",2018
"Modern Operating Systems","Andrew S. Tanenbaum",2014
"The C Programming Language","Brian W. Kernighan",1978
"Advanced Programming in the UNIX Environment","W. Richard Stevens",1992
"The Mythical Man-Month","Frederick P. Brooks Jr.",1975
"Design Patterns","Erich Gamma",1994
"Clean Code","Robert C. Martin",2008
"To Kill a Mockingbird","Harper Lee",1960
"Pride and Prejudice","Jane Austen",1813
"The Catcher in the Rye","J.D. Salinger",1951
"The Hobbit","J.R.R. Tolkien",1937
"Fahrenheit 451","Ray Bradbury",1953
"Brave New World","Aldous Huxley",1932
"Frankenstein","Mary Shelley",1818
"The Lord of the Rings","J.R.R. Tolkien",1954
"Jane Eyre","Charlotte Bronte",1847
"Animal Farm","George Orwell",1945
"Wuthering Heights","Emily Bronte",1847
"The Picture of Dorian Gray","Oscar Wilde",1890
"Crime and Punishment","Fyodor Dostoevsky",1866
"The Brothers Karamazov","Fyodor Dostoevsky",1880
"War and Peace","Leo Tolstoy",1869
"Anna Karenina","Leo Tolstoy",1877
"The Odyssey","Homer",-800
"The Iliad","Homer",-750
"Don Quixote","Miguel de Cervantes",1605
"Ulysses","James Joyce",1922
"Catch-22","Joseph Heller",1961
"One Hundred Years of Solitude","Gabriel Garcia Marquez",1967
"The Grapes of Wrath","John Steinbeck",1939
"Of Mice and Men","John Steinbeck",1937
"Slaughterhouse-Five","Kurt Vonnegut",1969
"The Sound and the Fury","William Faulkner",1929
"Beloved","Toni Morrison",1987
"Invisible Man","Ralph Ellison",1952
"The Stranger","Albert Camus",1942
"The Trial","Franz Kafka",1925
"Heart of Darkness","Joseph Conrad",1899
"Great Expectations","Charles Dickens",1861
"A Tale of Two Cities","Charles Dickens",1859
"The Count of Monte Cristo","Alexandre Dumas",1844
"Les Miserables","Victor Hugo",1862
"Madame Bovary","Gustave Flaubert",1857
"In Search of Lost Time","Marcel Proust",1913
"Middlemarch","George Eliot",1871
"The Adventures of Huckleberry Finn","Mark Twain",1884
"The Adventures of Tom Sawyer","Mark Twain",1876
"Alice's Adventures in Wonderland","Lewis Carroll",1865
"Gulliver's Travels","Jonathan Swift",1726
